Ref,Val,Package,PosX,PosY,Rot,Side
CD2,100nF,C_0603_1608Metric,100.305,-70.275,-90,bottom
CD11,100nF,C_0603_1608Metric,84.53,-80.575,0,bottom
J1,SFML-115-02,SAMTEC_SFML-115-02-L-D-LC,90,-58.925,0,bottom
J2,Conn_02x10_Odd_Even,SAMTEC_SFML-110-02-L-D-LC,90,-85.535,0,bottom
CD1,100nF,C_0603_1608Metric,79.605,-64.575,-90,top
CD3,100nF,C_0603_1608Metric,78.705,-75.775,-90,top
CD4,100nF,C_0603_1608Metric,88.305,-80.575,180,top
CD5,100nF,C_0603_1608Metric,79.605,-67.8,90,top
CD6,100nF,C_0603_1608Metric,79.605,-71.775,-90,top
CD7,100nF,C_0603_1608Metric,101.005,-64.65,-90,top
CD8,100nF,C_0603_1608Metric,94.805,-80.575,180,top
CD9,100nF,C_0603_1608Metric,85.08,-80.575,0,top
CD10,100nF,C_0603_1608Metric,91.58,-80.575,180,top
R1,47k,R_0603_1608Metric,77.705,-72.625,90,top
