Designator,Val,Package,Mid X,Pos Y,Rotation,Layer
CD1,100nF,C_0603_1608Metric,79.605,-64.575,-90,top
CD3,100nF,C_0603_1608Metric,78.705,-75.775,-90,top
CD4,100nF,C_0603_1608Metric,88.305,-80.575,180,top
CD5,100nF,C_0603_1608Metric,79.605,-67.8,90,top
CD6,100nF,C_0603_1608Metric,79.605,-71.775,-90,top
CD7,100nF,C_0603_1608Metric,101.005,-64.65,-90,top
CD8,100nF,C_0603_1608Metric,94.805,-80.575,180,top
CD9,100nF,C_0603_1608Metric,85.08,-80.575,0,top
CD10,100nF,C_0603_1608Metric,91.58,-80.575,180,top
R1,47k,R_0603_1608Metric,77.705,-72.625,90,top
